date,bank,rate,value
1997-01-01,commercial,blr,9.19
1997-01-01,commercial,alr,10.18
1997-01-01,commercial,fdr_1mo,7.16
1997-01-01,investment,fdr_3mo,7.31
1997-01-01,commercial,fdr_12mo,7.26
1997-01-01,commercial,fdr_3mo,7.22
1997-01-01,investment,fdr_9mo,7.43
1997-01-01,investment,fdr_12mo,7.3
1997-01-01,investment,fdr_6mo,7.32
1997-01-01,investment,fdr_1mo,7.31
1997-01-01,commercial,fdr_6mo,7.24
1997-01-01,commercial,sr,4.12
1997-01-01,commercial,fdr_9mo,7.24
1997-01-01,investment,alr,10.7
1997-02-01,commercial,sr,4.14
1997-02-01,investment,fdr_12mo,7.32
1997-02-01,commercial,fdr_9mo,7.23
1997-02-01,investment,alr,10.7
1997-02-01,investment,fdr_9mo,7.43
1997-02-01,commercial,fdr_6mo,7.23
1997-02-01,commercial,fdr_3mo,7.22
1997-02-01,commercial,fdr_12mo,7.25
1997-02-01,investment,fdr_3mo,7.33
1997-02-01,investment,fdr_6mo,7.33
1997-02-01,investment,fdr_1mo,7.31
1997-02-01,commercial,alr,10.13
1997-02-01,commercial,fdr_1mo,7.14
1997-02-01,commercial,blr,9.2
1997-03-01,investment,fdr_12mo,7.32
1997-03-01,commercial,fdr_12mo,7.25
1997-03-01,commercial,fdr_1mo,7.2
1997-03-01,commercial,blr,9.24
1997-03-01,investment,fdr_1mo,7.29
1997-03-01,investment,fdr_6mo,7.33
1997-03-01,commercial,alr,10.14
1997-03-01,commercial,fdr_3mo,7.24
1997-03-01,commercial,fdr_6mo,7.24
1997-03-01,investment,alr,10.6
1997-03-01,commercial,sr,4.16
1997-03-01,investment,fdr_3mo,7.29
1997-03-01,commercial,fdr_9mo,7.24
1997-03-01,investment,fdr_9mo,7.32
1997-04-01,commercial,sr,4.15
1997-04-01,investment,fdr_6mo,7.36
1997-04-01,investment,fdr_12mo,7.37
1997-04-01,investment,fdr_1mo,7.32
1997-04-01,investment,fdr_9mo,7.41
1997-04-01,commercial,fdr_1mo,7.2
1997-04-01,commercial,fdr_9mo,7.25
1997-04-01,commercial,blr,9.25
1997-04-01,commercial,fdr_3mo,7.25
1997-04-01,commercial,fdr_6mo,7.24
1997-04-01,commercial,fdr_12mo,7.26
1997-04-01,investment,alr,10.7
1997-04-01,investment,fdr_3mo,7.38
1997-04-01,commercial,alr,10.46
1997-05-01,investment,alr,11.19
1997-05-01,commercial,fdr_12mo,7.3
1997-05-01,commercial,fdr_3mo,7.3
1997-05-01,investment,fdr_1mo,7.71
1997-05-01,commercial,fdr_6mo,7.28
1997-05-01,commercial,alr,10.43
1997-05-01,investment,fdr_9mo,7.54
1997-05-01,commercial,fdr_1mo,7.3
1997-05-01,commercial,blr,9.27
1997-05-01,commercial,fdr_9mo,7.28
1997-05-01,investment,fdr_12mo,7.5
1997-05-01,commercial,sr,4.17
1997-05-01,investment,fdr_3mo,7.49
1997-05-01,investment,fdr_6mo,7.48
1997-06-01,commercial,fdr_12mo,7.38
1997-06-01,investment,fdr_6mo,7.11
1997-06-01,investment,fdr_12mo,7.45
1997-06-01,investment,fdr_1mo,7.47
1997-06-01,investment,alr,11.22
1997-06-01,investment,fdr_9mo,7.52
1997-06-01,commercial,fdr_1mo,7.54
1997-06-01,investment,fdr_3mo,7.41
1997-06-01,commercial,fdr_3mo,7.43
1997-06-01,commercial,blr,9.5
1997-06-01,commercial,fdr_6mo,7.37
1997-06-01,commercial,sr,4.16
1997-06-01,commercial,alr,10.68
1997-06-01,commercial,fdr_9mo,7.36
1997-07-01,investment,alr,12.43
1997-07-01,commercial,fdr_12mo,7.52
1997-07-01,investment,fdr_6mo,7.99
1997-07-01,commercial,fdr_1mo,8.05
1997-07-01,investment,fdr_12mo,7.7
