date,measure,value
2013-01-01,m1_total,297582.23925056
2013-01-01,m3_total,1375858.01008556
2013-01-01,m2_deposit_saving,126010.998517
2013-01-01,m3_deposit_other,20476.818621999817
2013-01-01,m2_nid,20736.648408999998
2013-01-01,m2_deposit_other,211261.58913100004
2013-01-01,m2_total,1355381.19146356
2013-01-01,m2_deposit_fx,73996.74743799999
2013-01-01,m2_repo,5823.233723
2013-01-01,m2_deposit_fixed,619969.734995
2013-01-01,m1_deposit_demand,237510.750982
2013-01-01,m1_currency,60071.48826855999
2013-02-01,m2_deposit_fixed,623243.3143670001
2013-02-01,m3_total,1379389.60038262
2013-02-01,m3_deposit_other,20922.848782999677
2013-02-01,m2_deposit_saving,128800.088324
2013-02-01,m2_nid,19550.616030999998
2013-02-01,m2_deposit_other,214660.515604
2013-02-01,m1_total,294329.32048262
2013-02-01,m1_currency,61670.03473461999
2013-02-01,m2_deposit_fx,72880.341215
2013-02-01,m2_total,1358466.7515996203
2013-02-01,m1_deposit_demand,232659.28574799997
2013-02-01,m2_repo,5002.555576
2013-03-01,m2_nid,20064.455315000003
2013-03-01,m3_deposit_other,19021.26026899973
2013-03-01,m2_deposit_saving,129017.77819699998
2013-03-01,m2_deposit_other,217401.71841600005
2013-03-01,m1_deposit_demand,232544.47121000002
2013-03-01,m1_currency,61175.159647759996
2013-03-01,m1_total,293719.63085776
2013-03-01,m3_total,1392122.90439676
2013-03-01,m2_deposit_fx,71164.234408
2013-03-01,m2_deposit_fixed,636731.271358
2013-03-01,m2_total,1373101.6441277603
2013-03-01,m2_repo,5002.555576
2013-04-01,m2_deposit_saving,129863.29137400002
2013-04-01,m2_deposit_fixed,644888.5444710001
2013-04-01,m3_deposit_other,17354.798523999518
2013-04-01,m2_repo,5161.933091999999
2013-04-01,m3_total,1399798.8603289898
2013-04-01,m1_currency,61196.841584990005
2013-04-01,m2_deposit_fx,71634.544296
2013-04-01,m2_total,1382444.0618049903
2013-04-01,m1_deposit_demand,231209.985325
2013-04-01,m2_deposit_other,218891.433341
2013-04-01,m2_nid,19597.488321000004
2013-04-01,m1_total,292406.82690999
2013-05-01,m2_deposit_fixed,649938.363237
2013-05-01,m2_repo,5750.37753
2013-05-01,m2_total,1398166.29542853
2013-05-01,m2_deposit_fx,77524.327632
2013-05-01,m1_currency,60710.720383529995
2013-05-01,m1_deposit_demand,234917.53360799997
2013-05-01,m2_deposit_other,218159.051443
2013-05-01,m2_nid,22501.758149000005
2013-05-01,m1_total,295628.25399153
2013-05-01,m3_total,1414632.14155153
2013-05-01,m3_deposit_other,16465.84612299991
2013-05-01,m2_deposit_saving,128664.16344599999
2013-06-01,m1_total,298805.47405128
2013-06-01,m3_total,1414539.8932502798
2013-06-01,m2_nid,24631.337987000003
2013-06-01,m3_deposit_other,14131.89077099995
2013-06-01,m2_deposit_other,206630.234345
2013-06-01,m1_deposit_demand,237758.43767699998
2013-06-01,m2_deposit_fx,77617.97695900002
2013-06-01,m2_repo,5056.089648
2013-06-01,m2_deposit_fixed,657497.731514
2013-06-01,m1_currency,61047.036374280004
2013-06-01,m2_deposit_saving,130169.15797499997
2013-06-01,m2_total,1400408.0024792799
2013-07-01,m2_deposit_saving,132470.528595
2013-07-01,m3_deposit_other,13540.524455999956
2013-07-01,m2_deposit_fixed,659777.553854
2013-07-01,m1_total,304203.00236865
2013-07-01,m2_deposit_other,207871.88549999997
2013-07-01,m1_deposit_demand,242023.33942099998
2013-07-01,m2_nid,24292.282992000004
2013-07-01,m2_repo,5630.2292130000005
2013-07-01,m2_total,1409696.34705265
2013-07-01,m1_currency,62179.662947649995
2013-07-01,m3_total,1423236.87150865
2013-07-01,m2_deposit_fx,75450.86453
2013-08-01,m2_nid,23366.693194
